Country Code,Series Code,Year,Value
IDN,NY.GDP.MKTP.CD,1994,176892143931.505
IDN,NY.GDP.MKTP.CD,1995,202132028723.115
IDN,NY.GDP.MKTP.CD,1996,227369679374.973
IDN,NY.GDP.MKTP.CD,1997,215748998609.635
IDN,NY.GDP.MKTP.CD,1998,95445547872.715
IDN,NY.GDP.MKTP.CD,1999,140001351215.462
IDN,NY.GDP.MKTP.CD,2000,165021012077.81
IDN,NY.GDP.MKTP.CD,2001,160446947784.909
IDN,NY.GDP.MKTP.CD,2002,195660611165.183
IDN,NY.GDP.MKTP.CD,2003,234772463823.808
IDN,NY.GDP.MKTP.CD,2004,256836875295.452
IDN,NY.GDP.MKTP.CD,2005,285868619205.904
IDN,NY.GDP.MKTP.CD,2006,364570515631.625
IDN,NY.GDP.MKTP.CD,2007,432216737774.861
IDN,NY.GDP.MKTP.CD,2008,510228634992.258
IDN,NY.GDP.MKTP.CD,2009,539580085612.401
IDN,NY.GDP.MKTP.CD,2010,755094157594.248
IDN,NY.GDP.MKTP.CD,2011,892969104529.233
IDN,NY.GDP.MKTP.CD,2012,917869913365.243
IDN,NY.GDP.MKTP.CD,2013,912524136718.018
IDN,NY.GDP.MKTP.CD,2014,890814755511.291
IDN,NY.GDP.MKTP.CD,2015,860854232717.853
IDN,NY.GDP.MKTP.CD,2016,931877364033.902
IDN,NY.GDP.MKTP.CD,2017,1015618744168.15
IDN,NY.GDP.MKTP.CD,2018,1042271532953.36
IDN,NY.GDP.MKTP.CD,2019,1119099871386.16
IDN,NY.GDP.MKTP.CD,2020,1059054842711.72
IDN,NY.GDP.MKTP.CD,2021,1186505455720.81
IDN,NY.GDP.MKTP.CD,2022,1319100220389.02
IDN,NY.GDP.MKTP.KD.ZG,1961,5.74064582274347
IDN,NY.GDP.MKTP.KD.ZG,1962,1.8419777020647
IDN,NY.GDP.MKTP.KD.ZG,1963,-2.23702998433022
IDN,NY.GDP.MKTP.KD.ZG,1964,3.52969814847717
IDN,NY.GDP.MKTP.KD.ZG,1965,1.08158946665004
IDN,NY.GDP.MKTP.KD.ZG,1966,2.79134682541115
IDN,NY.GDP.MKTP.KD.ZG,1967,1.38040280529586
IDN,NY.GDP.MKTP.KD.ZG,1968,10.9151785723284
IDN,NY.GDP.MKTP.KD.ZG,1969,6.82229824856704
IDN,NY.GDP.MKTP.KD.ZG,1970,7.55463451460639
IDN,NY.GDP.MKTP.KD.ZG,1971,7.02399719674149
IDN,NY.GDP.MKTP.KD.ZG,1972,7.03764320754472
IDN,NY.GDP.MKTP.KD.ZG,1973,8.10397553521128
IDN,NY.GDP.MKTP.KD.ZG,1974,7.23424381726076
IDN,NY.GDP.MKTP.KD.ZG,1975,5.60747663551402
IDN,NY.GDP.MKTP.KD.ZG,1976,7.07964601769913
IDN,NY.GDP.MKTP.KD.ZG,1977,8.26446280991735
IDN,NY.GDP.MKTP.KD.ZG,1978,6.87022900763358
IDN,NY.GDP.MKTP.KD.ZG,1979,7.14285714285714
IDN,NY.GDP.MKTP.KD.ZG,1980,10.0
IDN,NY.GDP.MKTP.KD.ZG,1981,7.87878787878789
IDN,NY.GDP.MKTP.KD.ZG,1982,2.24719101123596
IDN,NY.GDP.MKTP.KD.ZG,1983,4.39560439560441
IDN,NY.GDP.MKTP.KD.ZG,1984,6.84210526315789
IDN,NY.GDP.MKTP.KD.ZG,1985,2.46305418719213
IDN,NY.GDP.MKTP.KD.ZG,1986,5.76923076923077
IDN,NY.GDP.MKTP.KD.ZG,1987,5.0
IDN,NY.GDP.MKTP.KD.ZG,1988,5.62770562770562
IDN,NY.GDP.MKTP.KD.ZG,1989,7.78688524590163
IDN,NY.GDP.MKTP.KD.ZG,1990,7.22433460076046
IDN,NY.GDP.MKTP.KD.ZG,1991,6.77581744104965
IDN,NY.GDP.MKTP.KD.ZG,1992,6.49750651682714
IDN,NY.GDP.MKTP.KD.ZG,1993,6.49640812045304
IDN,NY.GDP.MKTP.KD.ZG,1994,7.53997109551439
IDN,NY.GDP.MKTP.KD.ZG,1995,8.22000739903493
IDN,NY.GDP.MKTP.KD.ZG,1996,7.81818707670867
IDN,NY.GDP.MKTP.KD.ZG,1997,4.69987885390397
IDN,NY.GDP.MKTP.KD.ZG,1998,-13.1267254923818
IDN,NY.GDP.MKTP.KD.ZG,1999,0.79112608199847
IDN,NY.GDP.MKTP.KD.ZG,2000,4.9200677470169
IDN,NY.GDP.MKTP.KD.ZG,2001,3.64346644721492
IDN,NY.GDP.MKTP.KD.ZG,2002,4.49947539085764
IDN,NY.GDP.MKTP.KD.ZG,2003,4.78036912167654
IDN,NY.GDP.MKTP.KD.ZG,2004,5.03087394501685
IDN,NY.GDP.MKTP.KD.ZG,2005,5.69257130383384
IDN,NY.GDP.MKTP.KD.ZG,2006,5.50095178520348
IDN,NY.GDP.MKTP.KD.ZG,2007,6.34502222667214
IDN,NY.GDP.MKTP.KD.ZG,2008,6.01370360009123
IDN,NY.GDP.MKTP.KD.ZG,2009,4.62887118256153
IDN,NY.GDP.MKTP.KD.ZG,2010,6.22385418062366
IDN,NY.GDP.MKTP.KD.ZG,2011,6.16978420771008
IDN,NY.GDP.MKTP.KD.ZG,2012,6.03005065305615
IDN,NY.GDP.MKTP.KD.ZG,2013,5.5572636889101
IDN,NY.GDP.MKTP.KD.ZG,2014,5.006668425755
IDN,NY.GDP.MKTP.KD.ZG,2015,4.87632230022123
IDN,NY.GDP.MKTP.KD.ZG,2016,5.03306918280177
IDN,NY.GDP.MKTP.KD.ZG,2017,5.06978590134916
